zip,total,overall_total,percent_total
20726,178.5,20328513.18,8.780770065152399e-6
20727,10,20328513.18,4.919198916051764e-7
20729,15,20328513.18,7.378798374077646e-7
20731,159,20328513.18,7.821526276522306e-6
20732,16660.18,20328513.18,8.195473939722728e-4
20733,8591.1,20328513.18,4.2261329807692313e-4
20734,49,20328513.18,2.4104074688653642e-6
20735,49239.74,20328513.18,0.002422200756346707
20736,17574.63,20328513.18,8.645310084601082e-4
20737,22759.88,20328513.18,0.0011196037702546823
20738,662.5,20328513.18,3.258969281884294e-5
20740,55985.85,20328513.18,0.0027540553263423664
20741,16193.2,20328513.18,7.965757188740944e-4
20742,444,20328513.18,2.1841243187269834e-5
20743,21754.45,20328513.18,0.001070144668593023
20744,96990.27,20328513.18,0.00477114431051568
20745,37537.44,20328513.18,0.0018465413415935815
20746,17308.44,20328513.18,8.514365928654699e-4
20747,24257.35,20328513.18,0.0011932672982628825
20748,36519.45,20328513.18,0.001796464388548066
20749,3599,20328513.18,1.7704196898870298e-4
20750,2515.76,20328513.18,1.2375523865046386e-4
20751,10899.08,20328513.18,5.361474252196146e-4
20752,275,20328513.18,1.3527797019142351e-5
20753,1117,20328513.18,5.4947451892298206e-5
20754,7766.02,20328513.18,3.8202597166036326e-4
20755,2158.54,20328513.18,1.0618287628254375e-4
20756,25,20328513.18,1.229799729012941e-6
20757,150,20328513.18,7.3787983740776465e-6
20758,1886.29,20328513.18,9.279035723359282e-5
20759,25238.81,20328513.18,0.0012415472679443644
20760,27.5,20328513.18,1.3527797019142352e-6
20762,728,20328513.18,3.5811768108856847e-5
20763,6937.68,20328513.18,3.4127827935914e-4
20764,13764.1,20328513.18,6.770834580042809e-4
20765,2040,20328513.18,1.00351657887456e-4
20768,642.5,20328513.18,3.160585303563258e-5
20769,40900.44,20328513.18,0.002011974001140402
20770,94850.85,20328513.18,0.004665901985065885
20772,77618.04,20328513.18,0.0038181857823406246
20773,640.3,20328513.18,3.1497630659479446e-5
20774,87764.19,20328513.18,0.004317295083161611
20775,335,20328513.18,1.647931636877341e-5
20776,7794.5,20328513.18,3.834269595116548e-4
20777,25644.29,20328513.18,0.001261493635709171
20778,3251.97,20328513.18,1.5997087299032855e-4
20779,16548.51,20328513.18,8.140541245427178e-4
20781,44207.49,20328513.18,0.002174654368893692
20782,102910.54,20328513.18,0.005062374168183017
20783,23054.53,20328513.18,0.0011340981898608287
20784,16966.52,20328513.18,8.346168679317058e-4
20785,47805.02,20328513.18,0.002351624025658329
20786,4.4,20328513.18,2.1644475230627764e-7
20787,248,20328513.18,1.2199613311808376e-5
20791,754.5,20328513.18,3.711535582161056e-5
20792,2698.4599999999996,20328513.18,1.327426150700904e-4
20794,9360.8,20328513.18,4.6047637213377353e-4
20795,246,20328513.18,1.210122933348734e-5
20798,25,20328513.18,1.229799729012941e-6
20800,275,20328513.18,1.3527797019142351e-5
20801,30,20328513.18,1.4757596748155292e-6
20802,75,20328513.18,3.6893991870388232e-6
20803,161.5,20328513.18,7.9445062494236e-6
20804,50,20328513.18,2.459599458025882e-6
20805,2918.5,20328513.18,1.4356682036497073e-4
20806,117,20328513.18,5.755462731780564e-6
20807,75,20328513.18,3.6893991870388232e-6
20810,4162.6,20328513.18,2.0476657407957074e-4
20812,9983.2,20328513.18,4.910934661872797e-4
20813,5800,20328513.18,2.853135371310023e-4
20814,852308.93,20328513.18,0.041926771645972395
20815,2476159.11,20328513.18,0.121807192098837
20816,626049.57,20328513.18,0.03079662366138673
20817,1340696.1,20328513.18,0.06595150801874829
20818,92990.91,20328513.18,0.004574407836746672
20819,25,20328513.18,1.229799729012941e-6
20824,2735.5,20328513.18,1.34564686348596e-4
20825,1118.19,20328513.18,5.5005990359399225e-5
20827,1020.98,20328513.18,5.0224037093105306e-5
20830,880,20328513.18,4.328895046125553e-5
20832,115354.08,20328513.18,0.005674496652981485
20833,34761.42,20328513.18,0.0017099833958442012
20834,208,20328513.18,1.023193374538767e-5
20835,299.72,20328513.18,1.474382299119035e-5
20836,339,20328513.18,1.667608432541548e-5
20837,24140.17,20328513.18,0.001187502980973053
20838,5862.5,20328513.18,2.883880364535347e-4
20839,250,20328513.18,1.229799729012941e-5
20840,20,20328513.18,9.838397832103528e-7
20841,51763.85,20328513.18,0.0025463667481066612
20842,11821.21,20328513.18,5.815088341842027e-4
20843,153,20328513.18,7.526374341559199e-6
20846,15,20328513.18,7.378798374077646e-7
20847,50,20328513.18,2.459599458025882e-6
20848,310,20328513.18,1.5249516639760469e-5
20849,1622.86,20328513.18,7.983171152903765e-5
20850,362622.99,20328513.18,0.017838146193434497
20851,26691.79,20328513.18,0.0013130222443548131
20852,432156.09,20328513.18,0.02125861769493169
20853,120246.59,20328513.18,0.005915168951869209
20854,1032443.47,20328513.18,0.05078794798508722
20855,83307.91,20328513.18,0.004098081805705379
20859,4594.5,20328513.18,2.260125941979983e-4
20860,27266.39,20328513.18,0.0013412879613264467
20861,19561.2,20328513.18,9.622543383667177e-4
20862,1383.5,20328513.18,6.805711700357616e-5
20864,111.5,20328513.18,5.484906791397717e-6
20865,700,20328513.18,3.443439241236235e-5
20866,38466.98,20328513.18,0.0018922672631978491
20868,2733.27,20328513.18,1.3445498821276804e-4
20869,41.25,20328513.18,2.0291695528713526e-6
20870,27,20328513.18,1.3281837073339763e-6
20871,28163.28,20328513.18,0.0013854077644846231
20872,25675.41,20328513.18,0.0012630244904118463
20874,106671.36,20328513.18,0.005247376384857675
20875,2971.8,20328513.18,1.4618875338722633e-4
20876,41433.01,20328513.18,0.0020381721788076193
20877,75438.76,20328513.18,0.0037109826642028917
20878,321611.91,20328513.18,0.015820729590613373
20879,38186.58,20328513.18,0.0018784738294372399
20880,17330.52,20328513.18,8.525227519861343e-4
20882,49470.73,20328513.18,0.002433563613922895
20883,24499.01,20328513.18,0.0012051550343634132
20885,167,20328513.18,8.215062189806446e-6
20886,81079.51,20328513.18,0.003988462377060082
20887,100,20328513.18,4.919198916051764e-6
20888,100,20328513.18,4.919198916051764e-6
20891,62,20328513.18,3.049903327952094e-6
20892,37.5,20328513.18,1.8446995935194116e-6
20893,35,20328513.18,1.7217196206181174e-6
20895,308058.19,20328513.18,0.015153995143288685
20896,25793.67,20328513.18,0.001268841935049969
20898,145.5,20328513.18,7.157434422855317e-6
20899,3250,20328513.18,1.5987396477168235e-4
20901,265229.22,20328513.18,0.013047152915292548
20902,233189.66,20328513.18,0.011471063227064794
20903,62539.18,20328513.18,0.0030764266646676618
20904,288676.34,20328513.18,0.014200563388177906
20905,97625.31,20328513.18,0.004802383191312175
20906,281501.71,20328513.18,0.013847629066987182
20907,881,20328513.18,4.3338142450416044e-5
20908,175,20328513.18,8.608598103090588e-6
20910,645064.74,20328513.18,0.03173201769791213
20911,1332,20328513.18,6.55237295618095e-5
20912,565004.06,20328513.18,0.02779367359516846
20913,115225.42,20328513.18,0.005668167611656093
20914,1686,20328513.18,8.293769372463275e-5
20916,2831.68,20328513.18,1.392959718660546e-4
20917,100,20328513.18,4.919198916051764e-6
20919,105,20328513.18,5.165158861854352e-6
20920,271,20328513.18,1.333102906250028e-5
20950,25,20328513.18,1.229799729012941e-6
20952,70,20328513.18,3.443439241236235e-6
20953,19258.24,20328513.18,9.473511333306473e-4
20954,391.7,20328513.18,1.926850215417476e-5
20963,45.22,20328513.18,2.2244617498386076e-6
20978,27.5,20328513.18,1.3527797019142352e-6
20979,3,20328513.18,1.4757596748155293e-7
20985,50,20328513.18,2.459599458025882e-6
20991,75,20328513.18,3.6893991870388232e-6
20992,104.1,20328513.18,5.120886071609886e-6
20994,1594,20328513.18,7.841203072186512e-5
20995,79.5,20328513.18,3.910763138261153e-6
20996,33.5,20328513.18,1.647931636877341e-6
21001,27737.74,20328513.18,0.0013644746054172568
21003,50,20328513.18,2.459599458025882e-6
21004,250,20328513.18,1.229799729012941e-5
21005,1301.12,20328513.18,6.400468093653271e-5
21009,18762.16,20328513.18,9.229479713478976e-4
21010,4170.9,20328513.18,2.0517486758960302e-4
21012,78343,20328513.18,0.0038538480068024336
21013,5974.25,20328513.18,2.938852412422225e-4
21014,60621.04,20328513.18,0.0029820695425793065
21015,95821.03,20328513.18,0.004713627069109635
21016,45,20328513.18,2.213639512223294e-6
21017,4196.72,20328513.18,2.064450047497276e-4
21019,450,20328513.18,2.213639512223294e-5
